"func.name","true_x","true_y","lin_extrap_x","lin_extrap_y","tpt","min_x","min_y","max_x","max_y","forced_choice_tpt"
"hexagon",0.587820118733408,0.559131835483097,0.781948802249361,0.559131835483097,9,0,0,1,0.75,14
"hourglass_1",0.572276388096593,0.309294192639461,0.296311997182329,0.171311997182329,9,0,0,1,0.75,14
"increasing_lines",0.562932367895902,0.359266908026025,0.562932367895902,0.359266908026025,9,0,0,1,0.75,10
"plus",0.486133665463146,0.374506448960712,0.475769093638108,0.665699474234635,9,0,0,1,0.75,12
"radial_1",0.468524991003009,0.549334411815859,0.447113872649748,0.17446434063315,9,0,0,1,0.75,13
"radial_increasing",0.489719289212601,0.324920070196432,0.609887597434242,0.423341278254348,9,0,0,1,0.75,9
"sine",0.471003669207956,0.40671480434726,0.471003669207956,0.485840984294902,9,0,0,1,0.75,12
"spiral_outward",0.383218948235067,0.255422288273148,0.318286283740179,0.262823850959845,9,0,0,1,0.75,14
"square_2",0.201460021782479,0.584078313366061,0.201460021782479,0.584078313366061,9,0,0,1,0.75,13
"square_spiral",0.770141224133306,0.316897836782226,0.907873795395516,0.179165265520016,9,0,0,1,0.75,9
"stairs",0.538216212146589,0.358806023937947,0.503013028792855,0.320056566311375,9,0,0,1,0.75,14
"stairs_2",0.460654959348511,0.377424670560003,0.495150658879994,0.296309918697022,9,0,0,1,0.75,12
"triangle_1",0.402922597226617,0.318952335376557,0.402922597226617,0.655238323117214,9,0,0,1,0.75,14
"zigzag_1",0.528714752948532,0.369217207259815,0.540541022376177,0.509223877374232,9,0,0,1,0.75,13
"zigzag_2",0.556618921272842,0.4844295104271,0.556618921272842,0.4844295104271,9,0,0,1,0.75,13
"zigzag_3",0.544854842387596,0.380208563398714,0.584501121376483,0.430271969185025,9,0,0,1,0.75,13
"zigzag_widening",0.472380414007813,0.427830479320815,0.611143367617778,0.280797206892564,9,0,0,1,0.75,14
"123",0.634765625,0.29296875,0.732421875,0.48828125,10,0,0,1,0.75,14
"3_pts",0.5,0.375,0.208767791679848,0.375,10,0,0,1,0.75,12
"alternating_diff_1",0.513807776567641,0.405377108448808,0.455815114983552,0.463369770032897,10,0,0,1,0.75,14
"alternating_diff_2",0.5,0.38880777656764,0.5,0.38880777656764,10,0,0,1,0.75,11
"decreasing_y",0.525716145833333,0.247395833333333,0.494791666666667,0.0618489583333333,10,0,0,1,0.75,14
"f_curly_2",0.586092076154859,0.369277611059628,0.617170007393575,0.249775397161043,10,0,0,1,0.75,14
"hexagon",0.393691435217454,0.559131835483097,0.490755776975431,0.727252207011142,10,0,0,1,0.75,14
"hourglass_1",0.434294192639461,0.447276388096593,0.710258583553725,0.309294192639461,10,0,0,1,0.75,14
"increasing_lines",0.421334540130123,0.406466183947951,0.610131643817828,0.359266908026025,10,0,0,1,0.75,10
"plus",0.389069323705172,0.3710515916857,0.493043380013172,0.180377765444764,10,0,0,1,0.75,12
"radial_1",0.508042498246381,0.359030830288603,0.429007483759638,0.739637993343115,10,0,0,1,0.75,13
"radial_increasing",0.499561206444437,0.362484467519278,0.399593058046371,0.251104164152995,10,0,0,1,0.75,9
"sine",0.5,0.323541184308891,0.5,0.356501299145233,10,0,0,1,0.75,12
"spiral_outward",0.477661127472683,0.186806028619514,0.416887737232416,0.151800410659379,10,0,0,1,0.75,14
"square_2",0.201460021782479,0.43909665940584,0.0564783678222585,0.584078313366061,10,0,0,1,0.75,13
"square_spiral",0.770141224133306,0.454630408044435,0.770141224133306,0.454630408044435,10,0,0,1,0.75,9
"stairs",0.491618289677678,0.365773938660345,0.526821473031411,0.404523396286916,10,0,0,1,0.75,14
"stairs_2",0.5,0.375,0.465504300468518,0.456114751862981,10,0,0,1,0.75,12
