"","changepoints","func","init_angle","init_speed","particle","pred_x","pred_y","scale_x","scale_y","score","seq_id","shape_x","shape_y","tpt","true_x","true_y","sampled_sd_x","sampled_sd_y","sd_x","sd_y"
"83","Any[]","Node(""move"", ""root"", 1, Any[], Node[], -1, 1)",1.15093189782091,4.75097715950369,3,21.2932577454995,4.50471929084522,2.04177501371213,4.82767845906743,-28.9302039426758,"line",60.3922585158187,54.8110837268238,4,20.8,4,0.0970502114699134,0.136545781942809,0.105423770935821,0.154905625599173
"84","Any[]","Node(""move"", ""root"", 1, Any[], Node[], -1, 1)",1.2060505420758,4.58691884477707,4,20.7601239411903,4.35898018737777,2.66836291878694,1.37786145384783,-27.0142058587452,"line",55.759080669047,78.7162550921007,4,20.8,4,0.152278150355624,0.140445043598526,0.126335056849663,0.143833501192983
"85","Any[]","Node(""move"", ""root"", 1, Any[], Node[], -1, 1)",1.68280823574282,0.484344592204929,5,19.8592186435594,4.64092089522772,2.54736669712315,1.76702004123443,-26.1803281738458,"line",52.6887491951312,54.500987992502,4,20.8,4,0.189053807763326,0.172570334062761,0.187032529933844,0.185618090410397
"86","Any[]","Node(""move"", ""root"", 1, Any[], Node[], -1, 1)",0.171601232552038,3.02280186050966,6,22.0887026637815,2.75747485608352,1.12439761425198,1.12661240105554,-31.1349598223969,"line",67.2599449711132,116.703279210877,4,20.8,4,0.118621701747593,0.0863594253554104,0.114147471213751,0.0882666266054849
"87","Any[]","Node(""move"", ""root"", 1, Any[], Node[], -1, 1)",1.09432427470495,0.71665921814585,7,21.2338374817959,4.396840619729,3.68403282839269,1.4487229798969,-26.0623445778001,"line",77.2252083279847,69.1928039504558,4,20.8,4,0.0753399581441945,0.145765374652613,0.0794197645526511,0.15405329523568
"88","Any[]","Node(""move"", ""root"", 1, Any[], Node[], -1, 1)",1.25046988066565,0.423993525764991,8,20.2923391899785,4.0926282394777,2.79109104014953,2.82165502695635,-26.5962165318869,"line",85.8111823534871,90.1617123747562,4,20.8,4,0.121283785831641,0.100364468251786,0.123545400027035,0.102154408880501
"89","Any[]","Node(""move"", ""root"", 1, Any[], Node[], -1, 1)",0.725957768839317,0.487594236492111,9,21.1380445552456,3.71167414420863,0.866712300239389,1.52688805289936,-26.3169195700643,"line",75.8323975424215,95.6972961625462,4,20.8,4,0.135057306404525,0.101873920095858,0.136309146583853,0.0969115791779894
"90","Any[]","Node(""move"", ""root"", 1, Any[], Node[], -1, 1)",1.56545191946737,0.154784968033709,10,19.3066012633444,3.53298629774988,0.606226182680061,0.713577138258511,-26.6313621735782,"line",56.3289878922214,71.4816613739076,4,20.8,4,0.265782597895076,0.145613627204176,0.262759900486629,0.145924774589064
"91","Any[]","Node(""move"", ""root"", 1, Any[], Node[], -1, 1)",0.59510296885921,0.309780980259444,11,21.1329105362247,3.39355508041907,6.46748708600671,5.09488311838987,-30.7052515442683,"line",67.9175257136237,33.7051870412841,4,20.8,4,0.0768616082407555,0.0882998126979304,0.0791110457654797,0.0888085151722203
"92","Any[]","Node(""move"", ""root"", 1, Any[], Node[], -1, 1)",-0.133609322728894,3.19838685858603,12,22.1753140346085,3.17985151827368,0.736691581944817,2.4407445012237,-28.524605931079,"line",54.6874487568118,55.4453592291226,4,20.8,4,0.155713204981274,0.0852256182906747,0.156223648748827,0.0868623777763823
"93","Any[]","Node(""move"", ""root"", 1, Any[], Node[], -1, 1)",0.883233855955613,0.791751552202129,13,21.5782497971986,4.18284624029686,1.22804320061302,0.960556403680312,-25.7087630622469,"line",75.3133005753936,44.3622583314585,4,20.8,4,0.108213368759179,0.194078898312702,0.10828624930583,0.19588689675439
"94","Any[]","Node(""move"", ""root"", 1, Any[], Node[], -1, 1)",0.681701177661379,0.436067548858144,14,21.1294053524531,3.60992180377909,4.35672267917043,2.54967360609701,-29.9959041165022,"line",23.5254982475008,21.9998139833352,4,20.8,4,0.189015535164535,0.168712524954922,0.143955225559965,0.158555167204259
"95","Any[]","Node(""move"", ""root"", 1, Any[], Node[], -1, 1)",1.30241739117266,0.0612816474070699,15,19.7166199662608,3.17702906587016,1.71300862400027,1.38056987416278,-34.5931943686851,"line",184.024908577679,32.2835458092024,4,20.8,4,0.107291445881349,0.158685417097798,0.110626833164291,0.149108868713565
"96","Any[]","Node(""move"", ""root"", 1, Any[], Node[], -1, 1)",-1.50486674918984,2.52486516378329,16,20.2215562555911,4.56248133565437,3.44181114647115,1.95767039918352,-27.3841662396781,"line",46.321517672238,38.0763621077741,4,20.8,4,0.155569562912224,0.199704082535766,0.167930310184774,0.21050010974988
"97","Any[]","Node(""move"", ""root"", 1, Any[], Node[], -1, 1)",0.8964201919447,0.50923893904704,17,20.951687950429,3.90933462877743,6.3492696059494,4.8075343714095,-28.878508340062,"line",34.7517281720738,38.7543790690167,4,20.8,4,0.127727956094048,0.123916219689078,0.123763409163909,0.1250291147875
