"fn_x","fn_y","particle","pred_x","pred_y","score","sd_x","sd_y","seq_id","tpt","true_x","true_y"
"Linear(0.5035880891217658, 2, 1)","Linear(0.5002104275909612, 1, 1)",8,18.1623591076734,5.99838124860529,38.0507931901773,0.0202793901714397,0.0327558194513163,"line",6,18.2,6
"Linear(0.502127894496717, 2, 1)","Linear(0.49816795836257505, 2, 1)",9,18.1777238837747,5.98544058729861,40.352136995926,0.0328827181603313,0.0148561211628365,"line",6,18.2,6
"Linear(0.49558052289493376, 3, 1)","SquaredExponential(0.5427340533239583, 2, 1)",10,18.1534163616177,5.98511167505261,27.6565647282006,0.0564831886183529,0.150096268876846,"line",6,18.2,6
"Linear(0.5006156336225431, 1, 1)","Linear(0.49902521170253017, 1, 1)",11,18.2061095554777,6.00782279377932,37.3663001524951,0.0788924933511608,0.0151584867992734,"line",6,18.2,6
"Linear(0.4971156650989385, 1, 1)","SquaredExponential(0.8176950937128407, 1, 1)",12,18.1697713011035,5.9791423301924,32.102664368928,0.0300079890313895,0.059337016652171,"line",6,18.2,6
"Linear(0.5016389618964077, 1, 1)","SquaredExponential(0.1934456114567443, 1, 1)",13,18.2168911638614,6.0345494217297,22.8256173934584,0.0381763976565851,1.37357813717161,"line",6,18.2,6
"Linear(0.4831567168113835, 2, 1)","Linear(0.4977533698373198, 2, 1)",14,18.366901012123,5.98232040667024,29.424176749955,0.139825923720447,0.0546414401175607,"line",6,18.2,6
"Linear(0.4992442734886745, 1, 1)","SquaredExponential(0.4108746953037787, 1, 1)",15,18.1921247230924,5.98253887080396,32.643359554676,0.0141320203195586,0.203564704871834,"line",6,18.2,6
"Linear(0.4982043944024784, 3, 1)","Linear(0.4999993846973229, 1, 1)",16,18.1812410959828,6.00001815885286,42.5000308469007,0.020231047497373,0.0151378738353951,"line",6,18.2,6
"Linear(0.4913030019789193, 1, 1)","Linear(0.49946213626725244, 2, 1)",17,18.1075362156598,5.99599047921471,30.8085691928977,0.0334517990231588,0.0700281424831581,"line",6,18.2,6
"Linear(0.4965864403160935, 3, 1)","Linear(0.4984565865152242, 2, 1)",18,18.1641652467499,5.98776044529011,37.5283338987051,0.0360797632923759,0.02823833860628,"line",6,18.2,6
"Linear(0.5014517703881359, 3, 1)","Linear(0.4999502608108952, 2, 1)",19,18.2149499429948,5.99962075451889,39.3905812962531,0.0415272081307426,0.0177439524591803,"line",6,18.2,6
"Linear(0.5017348131368674, 1, 1)","Linear(0.498526479030086, 1, 1)",20,18.2179323470431,6.01182888478789,43.7204315209431,0.0153852262948934,0.0122225819687804,"line",6,18.2,6
"Linear(0.501187648371298, 2, 1)","SquaredExponential(0.6023231611680147, 2, 1)",1,16.8844494392618,7.00758192601701,36.4268646636093,0.016694631976284,0.464816375090719,"line",7,16.9,7
"Linear(0.4994933990349675, 3, 1)","Linear(0.5005543823505949, 1, 1)",2,16.893377662175,6.99445280157598,56.7758886583021,0.0125934846093067,0.0127351095331896,"line",7,16.9,7
"Linear(0.4988695910685962, 3, 1)","Linear(0.5021826306727203, 1, 1)",3,16.8851983451258,6.97862827431365,44.5461358036875,0.0187313054392118,0.0964313713225398,"line",7,16.9,7
"Linear(0.4994319764537686, 1, 1)","Linear(0.5013658396205715, 2, 1)",4,16.8925692970586,7.01375918321757,55.4132560422838,0.0174424493009683,0.0096836527690622,"line",7,16.9,7
"Linear(0.5016436803108847, 3, 1)","Linear(0.499618352230681, 3, 1)",5,16.9213337704037,7.00384367075063,53.2908262520151,0.0185632771347741,0.0154870374786316,"line",7,16.9,7
"Linear(0.5012392156422392, 2, 1)","Linear(0.5016165322640829, 2, 1)",6,16.8837711937018,7.01629541151987,54.3093739247212,0.0177267449857254,0.0102528042501436,"line",7,16.9,7
"Linear(0.49862325786323625, 1, 1)","Linear(0.5000535000082375, 2, 1)",7,16.8819693148849,7.00054591646659,55.0279240521802,0.0131458086937286,0.014454037491688,"line",7,16.9,7
"Linear(0.4986247296600257, 2, 1)","Linear(0.498839742914422, 1, 1)",8,16.917865133028,7.01168449645308,55.031314426973,0.0148549525311242,0.0120185274157765,"line",7,16.9,7
"Linear(0.49817553688216104, 2, 1)","Linear(0.5007889504000139, 2, 1)",9,16.9236703831593,7.00793903170893,54.260936833003,0.018210920215375,0.0118161523504654,"line",7,16.9,7
"Linear(0.4993620379178135, 3, 1)","Linear(0.4983600003881868, 2, 1)",10,16.8916562461253,6.98364419294206,52.227849060738,0.0154419577814554,0.0250204784487887,"line",7,16.9,7
"Linear(0.5007389114307604, 1, 1)","Linear(0.4980629843165855, 1, 1)",11,16.9096072548637,7.01954239667593,53.665426921784,0.0188469804065678,0.0105874234770979,"line",7,16.9,7
"Linear(0.499733862984453, 1, 1)","Linear(0.5001706359036922, 1, 1)",12,16.896494905199,6.99829720268127,52.1226973356133,0.0305949105963299,0.0140441528192821,"line",7,16.9,7
"Linear(0.49981206873959505, 1, 1)","Linear(0.5024355435363689, 1, 1)",13,16.8975105161127,6.97579697422225,46.0725958604669,0.0332980832929929,0.041747916538989,"line",7,16.9,7
"Linear(0.5008774527637984, 2, 1)","Linear(0.5003139550439764, 2, 1)",14,16.8885196099196,7.00315924978881,55.8774086492952,0.0153915773945833,0.0122045109927956,"line",7,16.9,7
"Linear(0.5003226549560832, 1, 1)","Linear(0.5023253822908129, 1, 1)",15,16.9041861448631,6.97681870858082,51.8321925715036,0.0238130235629081,0.0111969539250554,"line",7,16.9,7
"Linear(0.49965485718613223, 3, 1)","Linear(0.5001633209382473, 1, 1)",16,16.8954835625055,6.998367349285,56.030391830048,0.0175555965288905,0.0111168987391619,"line",7,16.9,7
"Linear(0.49956886417073154, 1, 1)","Linear(0.5003817736503648, 2, 1)",17,16.8943417384182,7.00383906475462,53.8806041094197,0.0290257813084994,0.0102075337230086,"line",7,16.9,7
"Linear(0.5007758228658075, 3, 1)","Linear(0.49896910374523396, 2, 1)",18,16.9100848591116,6.98969061011715,54.5699815502005,0.0203092693080033,0.0114218739423047,"line",7,16.9,7
