"func","init_angle","init_speed","particle","pred_x","pred_y","scale_x","scale_y","score","seq_id","shape_x","shape_y","tpt","true_x","true_y","sd_x","sd_y"
"Node(""move"", ""root"", 1, Any[], Node[], -1, 1)",1.04016013209952,1.51118702864961,17,19.572672568722,5.1849335072204,51.52567162903,23.2213473990121,-19.4432928816348,"line",107.516489551156,79.1881857559528,5,19.5,5,0.0230166344000121,0.0432564977253106
"Node(""move"", ""root"", 1, Any[], Node[], -1, 1)",1.0978456025104,1.64294268428758,18,19.2752591344269,4.95777244372076,13.1084180229037,34.386173428315,-16.4960998329507,"line",75.5402679363878,59.4291570643933,5,19.5,5,0.0578012783408974,0.0363877385568607
"Node(""move"", ""root"", 1, Any[], Node[], -1, 1)",-0.838877930071016,11.4941357415022,19,19.8361214767327,4.98180177265126,52.3102589260886,31.8371570153763,-28.3173395515495,"line",89.349138804775,100.625643032758,5,19.5,5,0.0426570682681869,0.0288906165798604
"Node(""move"", ""root"", 1, Any[], Node[], -1, 1)",0.655900623746572,1.66459862371352,20,19.8701192998745,4.54090204610071,14.2071002485233,11.2070092718654,-18.7181921806289,"line",52.8519338440703,59.9948499363809,5,19.5,5,0.077844513611635,0.0859696238045285
"Node(""move"", ""root"", 1, Any[], Node[], -1, 1)",0.991224739653956,1.52372990646061,1,18.3083942845695,6.10592588461613,12.9846514962542,14.0031039903637,-15.6246906377713,"line",63.1641432475143,50.4110580018554,6,18.2,6,0.05841085124518,0.0628872171141243
"Node(""move"", ""root"", 1, Any[], Node[], -1, 1)",1.08114256800076,1.66541697084869,2,17.9661022327141,5.88961560705656,26.6172766106587,11.8334333289914,-16.7422517794285,"line",65.4033849458677,50.3455469413637,6,18.2,6,0.0484336593031876,0.0682979195628223
"Node(""move"", ""root"", 1, Any[], Node[], -1, 1)",-0.978438616233974,3.64320582932334,3,18.1407445925229,5.85303871862836,58.9599557966045,7.91591790145279,-20.0575733912356,"line",94.5496499332068,44.9487048325278,6,18.2,6,0.0226768460319389,0.0886888436556243
"Node(""move"", ""root"", 1, Any[], Node[], -1, 1)",0.934232671555633,1.690498104699,4,18.1452846736122,5.71592829670951,36.1693519447455,10.9219219460025,-18.8595652662606,"line",102.734119995951,84.5764136990919,6,18.2,6,0.027309554119932,0.0618145123237236
"Node(""move"", ""root"", 1, Any[], Node[], -1, 1)",0.929684994833598,1.46146950973593,5,18.4889963390534,6.14143627401052,11.8350667609046,13.382711305608,-16.7593767381615,"line",51.4443293878462,38.7464346416745,6,18.2,6,0.0769835433926445,0.0745687224408353
"Node(""move"", ""root"", 1, Any[], Node[], -1, 1)",1.03790103432417,1.54768677280198,6,18.2095985449487,6.11024132659034,6.84031278818612,18.2146956352093,-18.7921661139002,"line",114.020361166302,37.8568914838864,6,18.2,6,0.0584792323584282,0.0641362275047999
"Node(""move"", ""root"", 1, Any[], Node[], -1, 1)",1.12694849499284,1.65417591703296,7,17.9177361712795,5.95539306319904,31.2857519122823,23.1970619004856,-18.8207563799266,"line",78.1155574749079,94.5409463016035,6,18.2,6,0.0457583834869071,0.0351365606759553
