Unnamed: 0,X.1,X,r_id,subj_id,func.name,game_n,min_distance,max_distance,correct_distance,Current_time,screen_w,screen_h,width,height,level,tpt,prev_x,prev_y,true_x,true_y,pred_x,pred_y,correct,attempt_number,dist_from_prev,dist_from_true,RT,total_correct,guess_number,func.type,mode,min_x,min_y,max_x,max_y,scale_by
77,77,1168,28788807,BP22,line,52,0.6,2000,1.60105230412542,Wed Jan 31 11:02:28 2024,1536,864,1536,864,,7,0.6395566524742952,0.20128363337638708,16.9,7.0,0.6406250000000004,0.18233282117712685,0.0,1.0,29.0,89.0,1.66005611419678,1.0,5.0,line,test,0,0,1,0.618343321732261,37.26085362328241
78,78,1169,28788807,BP22,line,52,0.6,2000,1.60105230412542,Wed Jan 31 11:02:30 2024,1536,864,1536,864,,8,0.6046674893557215,0.22812145115990534,15.6,8.0,0.5507812499999999,0.24678594617712674,1.0,1.0,88.0,32.0,0.125110864639282,2.0,6.0,line,test,0,0,1,0.618343321732261,37.26085362328241
79,79,1170,28788807,BP22,line,52,0.6,2000,1.60105230412542,Wed Jan 31 11:02:33 2024,1536,864,1536,864,,9,0.5697783262371476,0.25495926894342363,14.3,9.0,0.55859375,0.29756719617712674,1.0,1.0,68.0,44.0,1.74375462532043,3.0,7.0,line,test,0,0,1,0.618343321732261,37.26085362328241
80,80,1171,28788807,BP22,line,52,0.6,2000,1.60105230412542,Wed Jan 31 11:02:37 2024,1536,864,1536,864,,10,0.5348891631185739,0.2817970867269419,13.0,10.0,0.4785156250000004,0.26501511284379353,0.0,1.0,90.0,75.0,2.10653162002563,3.0,8.0,line,test,0,0,1,0.618343321732261,37.26085362328241
81,81,1172,28788807,BP22,line,52,0.6,2000,1.60105230412542,Wed Jan 31 11:02:39 2024,1536,864,1536,864,,11,0.5000000000000002,0.30863490451046016,11.7,11.0,0.44791666666666574,0.33793177951046016,1.0,1.0,92.0,27.0,0.167431831359863,4.0,9.0,line,test,0,0,1,0.618343321732261,37.26085362328241
82,82,1173,28788807,BP22,line,52,0.6,2000,1.60105230412542,Wed Jan 31 11:04:32 2024,1536,864,1536,864,,12,0.4651108368814264,0.33547272229397845,10.4,12.0,0.36523437500000017,0.3704838628437928,0.0,1.0,163.0,101.0,111.270300388336,4.0,10.0,line,test,0,0,1,0.618343321732261,37.26085362328241
83,83,1174,28788807,BP22,line,52,0.6,2000,1.60105230412542,Wed Jan 31 11:04:33 2024,1536,864,1536,864,,13,0.43022167376285264,0.36231054007749675,9.1,13.0,0.3893229166666669,0.3529057378437945,1.0,1.0,64.0,56.0,0.0835046768188476,5.0,11.0,line,test,0,0,1,0.618343321732261,37.26085362328241
84,84,1175,28788807,BP22,line,52,0.6,2000,1.60105230412542,Wed Jan 31 11:04:36 2024,1536,864,1536,864,,14,0.3953325106442789,0.389148357861015,7.8,14.0,0.38736979166666674,0.4199630295104605,1.0,1.0,49.0,42.0,1.07915377616882,6.0,12.0,line,test,0,0,1,0.618343321732261,37.26085362328241
87,87,1234,24020622,BP22,line,30,0.6,2000,1.60105230412542,Thu Feb 15 11:00:03 2024,1536,864,1536,864,,3,0.7791133049485902,0.09393236224231397,22.1,3.0,0.730468750000001,0.16931198784379348,0.0,1.0,138.0,77.0,0.126642227172852,0.0,1.0,line,test,0,0,1,0.618343321732261,37.26085362328241
88,88,1235,24020622,BP22,line,30,0.6,2000,1.60105230412542,Thu Feb 15 11:00:05 2024,1536,864,1536,864,,4,0.7442241418300165,0.12077018002583224,20.8,4.0,0.7180989583333335,0.07621302951045994,0.0,1.0,79.0,110.0,0.0843381881713867,0.0,2.0,line,test,0,0,1,0.618343321732261,37.26085362328241
89,89,1236,24020622,BP22,line,30,0.6,2000,1.60105230412542,Thu Feb 15 11:00:07 2024,1536,864,1536,864,,5,0.7093349787114428,0.14760799780935052,19.5,5.0,0.6503906250000013,0.1836349045104602,1.0,1.0,106.0,40.0,0.20956826210022,1.0,3.0,line,test,0,0,1,0.618343321732261,37.26085362328241
90,90,1237,24020622,BP22,line,30,0.6,2000,1.60105230412542,Thu Feb 15 11:00:09 2024,1536,864,1536,864,,6,0.674445815592869,0.17444581559286879,18.2,6.0,0.6516927083333334,0.16800990451046013,1.0,1.0,36.0,54.0,1.32653880119324,2.0,4.0,line,test,0,0,1,0.618343321732261,37.26085362328241
91,91,1238,24020622,BP22,line,30,0.6,2000,1.60105230412542,Thu Feb 15 11:00:13 2024,1536,864,1536,864,,7,0.6395566524742952,0.20128363337638708,16.9,7.0,0.5527343750000006,0.18493698784379328,0.0,1.0,136.0,104.0,1.23976612091064,2.0,5.0,line,test,0,0,1,0.618343321732261,37.26085362328241
92,92,1239,24020622,BP22,line,30,0.6,2000,1.60105230412542,Thu Feb 15 11:00:14 2024,1536,864,1536,864,,8,0.6046674893557215,0.22812145115990534,15.6,8.0,0.5546875000000013,0.26957240451046016,1.0,1.0,100.0,32.0,0.126348733901978,3.0,6.0,line,test,0,0,1,0.618343321732261,37.26085362328241
