"seq_id","tpt","true_x","true_y","in_kids"
"radial_increasing",9,0,0,FALSE
"spiky_circle_1",9,0.977715406501445,6.17305212871961,FALSE
"spiky_circle_2",9,0.782172325201156,4.93844170297569,FALSE
"oval",9,-3.53553390593274,1.76776695296637,FALSE
"zigzag_widening",9,-9.63398822162877,-2.90452594161564,TRUE
"zigzag_increasing",9,7.06993513900274,-6.32582145893277,FALSE
"zigzag_increasing_widening",9,-12.7843055385415,-10.6565253200664,FALSE
"quadratic",9,-1,0.075,FALSE
"cubic",9,-1,0.005,FALSE
"gold_star",9,-3.66609571078616,-2.01122440657274,FALSE
"2_pts",9,1,0,FALSE
"3_pts",9,0,0,TRUE
"square_spiral",9,1,-2.22044604925031e-16,TRUE
"hexagon_spiral",9,-1.95540966251929,-1.80995720221089,FALSE
"star_spiral",9,-4.56497115745561,-3.63603896932108,FALSE
"triangle_spiral",9,-5,1.73205080756889,FALSE
"f_curly_1",9,3.14300634468908,-0.449955926219382,FALSE
"f_curly_2",9,-1.99831034992825,-3.21780799751126,TRUE
"hourglass_1",9,1,0,TRUE
"hourglass_2",9,0,1,FALSE
"3_lines_of_3",9,0,0,FALSE
"increasing_lines",9,3,3,TRUE
"zigzag_1",9,-3.50969168673999,-0.63070834509011,TRUE
"zigzag_2",9,-2.75717273854626,3.45574223099779,TRUE
"zigzag_3",9,-5.42800873346984,3.39657492032417,TRUE
"stairs",9,-10.3304755880225,10.8862584621019,TRUE
"stairs_2",9,6.35769394440994,5.61958430039209,TRUE
"growing_stairs_1",9,-0.950874349108677,-7.43947834005901,FALSE
"growing_stairs_2",9,2.41296101040791,5.93107234505289,FALSE
"alternating_diff_1",9,4,1,TRUE
"alternating_diff_2",9,9,0,TRUE
"alternating_diff_3",9,5,1,FALSE
"sine",10,10,-1.63206333266811,TRUE
"sine_line",10,10,8.36793666733189,FALSE
"line",10,10,10,FALSE
"spiral_inward",10,1.625,2.92355221073453,FALSE
"spiral_outward",10,0.375,-0.923552210734534,TRUE
"triangle_1",10,1,9.30546457449323e-16,TRUE
"triangle_2",10,0.999999999999999,6.43249059870655e-16,FALSE
"square_1",10,1,1,FALSE
"square_2",10,-1.83697019872103e-16,2,TRUE
"hexagon",10,1.33226762955019e-15,1.73205080756888,TRUE
"octagon",10,1.70710678118655,0.707106781186547,FALSE
"star_octagon",10,0.292893218813455,0.707106781186548,FALSE
"star_hexagon",10,-0.123489801858733,0.541044173064266,FALSE
"star_pentagon",10,0,5.55111512312578e-16,FALSE
"increasing_sine",10,10,-3.20635655943761,FALSE
"radial_1",10,0,0,TRUE
"radial_2",10,0.999482132406928,-0.032178673050627,FALSE
"plus",10,-0.999367153498528,-0.0355709503422213,TRUE
"radial_increasing",10,0.253446693150407,0.967349354541121,FALSE
"spiky_circle_1",10,1.416384724412e-15,5,FALSE
"spiky_circle_2",10,1.062288543309e-15,3.75,FALSE
"oval",10,-4.33012701892219,1.25,FALSE
"zigzag_widening",10,-5.55675132241195,-8.6817345467869,TRUE
"zigzag_increasing",10,8.38470700946063,-5.80488487099458,FALSE
"zigzag_increasing_widening",10,-6.70680865350494,-10.9095700046001,FALSE
"quadratic",10,0,0,FALSE
"cubic",10,0,0,FALSE
"gold_star",10,-3.34030290237938,-2.95666559775832,FALSE
"2_pts",10,0,0,FALSE
"3_pts",10,1,0,TRUE
"square_spiral",10,1,1,TRUE
